"Kod","Nazwa","nauczyciele akademiccy,ogółem,uniwersytety,2014,[osoba]","nauczyciele akademiccy,ogółem,uniwersytety,2015,[osoba]","nauczyciele akademiccy,ogółem,uniwersytety,2016,[osoba]","nauczyciele akademiccy,ogółem,uniwersytety,2017,[osoba]","nauczyciele akademiccy,ogółem,uniwersytety,2018,[osoba]","nauczyciele akademiccy,ogółem,wyższe szkoły techniczne,2014,[osoba]","nauczyciele akademiccy,ogółem,wyższe szkoły techniczne,2015,[osoba]","nauczyciele akademiccy,ogółem,wyższe szkoły techniczne,2016,[osoba]","nauczyciele akademiccy,ogółem,wyższe szkoły techniczne,2017,[osoba]","nauczyciele akademiccy,ogółem,wyższe szkoły techniczne,2018,[osoba]","nauczyciele akademiccy,kobiety,uniwersytety,2014,[osoba]","nauczyciele akademiccy,kobiety,uniwersytety,2015,[osoba]","nauczyciele akademiccy,kobiety,uniwersytety,2016,[osoba]","nauczyciele akademiccy,kobiety,uniwersytety,2017,[osoba]","nauczyciele akademiccy,kobiety,uniwersytety,2018,[osoba]","nauczyciele akademiccy,kobiety,wyższe szkoły techniczne,2014,[osoba]","nauczyciele akademiccy,kobiety,wyższe szkoły techniczne,2015,[osoba]","nauczyciele akademiccy,kobiety,wyższe szkoły techniczne,2016,[osoba]","nauczyciele akademiccy,kobiety,wyższe szkoły techniczne,2017,[osoba]","nauczyciele akademiccy,kobiety,wyższe szkoły techniczne,2018,[osoba]","profesorowie,ogółem,uniwersytety,2014,[osoba]","profesorowie,ogółem,uniwersytety,2015,[osoba]","profesorowie,ogółem,uniwersytety,2016,[osoba]","profesorowie,ogółem,uniwersytety,2017,[osoba]","profesorowie,ogółem,uniwersytety,2018,[osoba]","profesorowie,ogółem,wyższe szkoły techniczne,2014,[osoba]","profesorowie,ogółem,wyższe szkoły techniczne,2015,[osoba]","profesorowie,ogółem,wyższe szkoły techniczne,2016,[osoba]","profesorowie,ogółem,wyższe szkoły techniczne,2017,[osoba]","profesorowie,ogółem,wyższe szkoły techniczne,2018,[osoba]","profesorowie,kobiety,uniwersytety,2014,[osoba]","profesorowie,kobiety,uniwersytety,2015,[osoba]","profesorowie,kobiety,uniwersytety,2016,[osoba]","profesorowie,kobiety,uniwersytety,2017,[osoba]","profesorowie,kobiety,uniwersytety,2018,[osoba]","profesorowie,kobiety,wyższe szkoły techniczne,2014,[osoba]","profesorowie,kobiety,wyższe szkoły techniczne,2015,[osoba]","profesorowie,kobiety,wyższe szkoły techniczne,2016,[osoba]","profesorowie,kobiety,wyższe szkoły techniczne,2017,[osoba]","profesorowie,kobiety,wyższe szkoły techniczne,2018,[osoba]","docenci,ogółem,uniwersytety,2014,[osoba]","docenci,ogółem,uniwersytety,2015,[osoba]","docenci,ogółem,uniwersytety,2016,[osoba]","docenci,ogółem,uniwersytety,2017,[osoba]","docenci,ogółem,uniwersytety,2018,[osoba]","docenci,ogółem,wyższe szkoły techniczne,2014,[osoba]","docenci,ogółem,wyższe szkoły techniczne,2015,[osoba]","docenci,ogółem,wyższe szkoły techniczne,2016,[osoba]","docenci,ogółem,wyższe szkoły techniczne,2017,[osoba]","docenci,ogółem,wyższe szkoły techniczne,2018,[osoba]","docenci,kobiety,uniwersytety,2014,[osoba]","docenci,kobiety,uniwersytety,2015,[osoba]","docenci,kobiety,uniwersytety,2016,[osoba]","docenci,kobiety,uniwersytety,2017,[osoba]","docenci,kobiety,uniwersytety,2018,[osoba]","docenci,kobiety,wyższe szkoły techniczne,2014,[osoba]","docenci,kobiety,wyższe szkoły techniczne,2015,[osoba]","docenci,kobiety,wyższe szkoły techniczne,2016,[osoba]","docenci,kobiety,wyższe szkoły techniczne,2017,[osoba]","docenci,kobiety,wyższe szkoły techniczne,2018,[osoba]","adiunkci,ogółem,uniwersytety,2014,[osoba]","adiunkci,ogółem,uniwersytety,2015,[osoba]","adiunkci,ogółem,uniwersytety,2016,[osoba]","adiunkci,ogółem,uniwersytety,2017,[osoba]","adiunkci,ogółem,uniwersytety,2018,[osoba]","adiunkci,ogółem,wyższe szkoły techniczne,2014,[osoba]","adiunkci,ogółem,wyższe szkoły techniczne,2015,[osoba]","adiunkci,ogółem,wyższe szkoły techniczne,2016,[osoba]","adiunkci,ogółem,wyższe szkoły techniczne,2017,[osoba]","adiunkci,ogółem,wyższe szkoły techniczne,2018,[osoba]","adiunkci,kobiety,uniwersytety,2014,[osoba]","adiunkci,kobiety,uniwersytety,2015,[osoba]","adiunkci,kobiety,uniwersytety,2016,[osoba]","adiunkci,kobiety,uniwersytety,2017,[osoba]","adiunkci,kobiety,uniwersytety,2018,[osoba]","adiunkci,kobiety,wyższe szkoły techniczne,2014,[osoba]","adiunkci,kobiety,wyższe szkoły techniczne,2015,[osoba]","adiunkci,kobiety,wyższe szkoły techniczne,2016,[osoba]","adiunkci,kobiety,wyższe szkoły techniczne,2017,[osoba]","adiunkci,kobiety,wyższe szkoły techniczne,2018,[osoba]","asystenci,ogółem,uniwersytety,2014,[osoba]","asystenci,ogółem,uniwersytety,2015,[osoba]","asystenci,ogółem,uniwersytety,2016,[osoba]","asystenci,ogółem,uniwersytety,2017,[osoba]","asystenci,ogółem,uniwersytety,2018,[osoba]","asystenci,ogółem,wyższe szkoły techniczne,2014,[osoba]","asystenci,ogółem,wyższe szkoły techniczne,2015,[osoba]","asystenci,ogółem,wyższe szkoły techniczne,2016,[osoba]","asystenci,ogółem,wyższe szkoły techniczne,2017,[osoba]","asystenci,ogółem,wyższe szkoły techniczne,2018,[osoba]","asystenci,kobiety,uniwersytety,2014,[osoba]","asystenci,kobiety,uniwersytety,2015,[osoba]","asystenci,kobiety,uniwersytety,2016,[osoba]","asystenci,kobiety,uniwersytety,2017,[osoba]","asystenci,kobiety,uniwersytety,2018,[osoba]","asystenci,kobiety,wyższe szkoły techniczne,2014,[osoba]","asystenci,kobiety,wyższe szkoły techniczne,2015,[osoba]","asystenci,kobiety,wyższe szkoły techniczne,2016,[osoba]","asystenci,kobiety,wyższe szkoły techniczne,2017,[osoba]","asystenci,kobiety,wyższe szkoły techniczne,2018,[osoba]",
0000000,"POLSKA",31928.1,31700.2,31838.5,31991.3,31560.8,19959.6,19804.8,19701.9,19530.1,18989.6,15798.8,15751.9,15965.4,16136.6,16014.3,6407.1,6374.5,6441.1,6411.8,6405.3,7685.2,7788.2,7990.5,8096.1,7909.6,3982.6,4001.9,4029.5,4039.0,3917.4,2352.5,2418.6,2562.4,2650.7,2646.7,695.5,714.5,754.6,792.2,805.0,127.0,107.1,90.1,81.8,73.5,222.6,173.6,150.1,131.9,107.9,52.0,45.0,39.0,35.8,33.5,45.0,31.0,27.0,27.0,25.0,15243.2,15040.5,14952.3,14717.1,14020.1,9629.7,9427.7,9337.4,9056.5,8096.5,8084.2,7997.7,7987.7,7882.1,7520.2,3051.7,3030.2,3067.4,3002.4,2788.4,3751.8,3779.4,3856.8,4087.6,3740.1,2750.9,2864.2,2848.3,2901.2,2511.1,2156.9,2202.0,2303.6,2415.6,2215.3,1050.6,1066.2,1081.2,1072.6,937.0,
0200000,"DOLNOŚLĄSKIE",1837.7,1856.7,1884.5,1919.2,1930.9,2003.3,2028.6,2051.7,2080.3,2043.1,856.7,875.9,912.4,931.1,947.5,572.7,583.9,601.0,616.7,628.2,423.9,428.5,437.8,449.7,448.5,361.2,368.9,371.9,376.7,354.2,121.0,120.0,129.0,134.0,139.5,64.9,61.4,64.0,67.6,67.4,9.0,8.0,6.0,6.0,6.0,61.6,55.6,48.6,39.4,32.4,2.0,2.0,1.0,1.0,1.0,12.0,9.0,9.0,8.0,8.0,1085.4,1099.1,1099.8,1105.4,1107.5,1027.4,1045.7,1049.7,1067.3,977.4,540.3,549.3,556.1,551.6,555.3,250.0,267.3,278.7,296.0,300.8,68.8,87.3,103.1,112.3,117.1,269.5,273.8,294.4,306.5,296.1,28.6,46.6,58.3,66.0,65.7,108.8,108.5,111.5,107.3,99.2,
0400000,"KUJAWSKO-POMORSKIE",2689.9,2651.1,2647.4,2721.4,2684.8,0.0,0.0,0.0,0.0,0.0,1285.9,1275.5,1295.9,1339.9,1320.2,0.0,0.0,0.0,0.0,0.0,662.7,649.4,683.4,690.7,670.3,0.0,0.0,0.0,0.0,0.0,161.0,163.0,178.5,181.0,169.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.8,1145.2,1130.6,1128.9,1110.5,0.0,0.0,0.0,0.0,0.0,604.3,607.5,610.9,610.7,605.3,0.0,0.0,0.0,0.0,0.0,457.6,466.3,467.2,519.7,426.1,0.0,0.0,0.0,0.0,0.0,272.0,262.7,276.8,311.2,258.8,0.0,0.0,0.0,0.0,0.0,
0600000,"LUBELSKIE",2912.0,2770.8,2721.5,2648.5,2578.0,549.0,568.9,587.7,581.8,583.8,1409.8,1359.3,1341.2,1299.5,1289.6,167.0,169.7,177.5,175.0,178.5,633.4,620.8,630.3,671.9,681.8,107.3,115.0,119.5,119.0,121.5,178.5,181.4,192.7,217.6,238.5,22.0,24.0,23.5,24.0,25.0,9.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1405.3,1336.7,1295.0,1231.9,1121.0,206.5,202.5,204.0,200.5,181.0,732.8,712.4,686.0,656.4,603.5,57.5,56.0,54.5,54.5,53.0,533.0,497.0,485.9,457.2,422.7,120.0,134.0,142.3,140.0,127.0,283.0,265.0,269.5,243.5,230.9,42.0,42.0,49.0,47.0,47.0,
0800000,"LUBUSKIE",899.0,884.5,920.0,1000.5,982.5,0.0,0.0,0.0,0.0,0.0,397.0,386.5,402.5,442.1,431.5,0.0,0.0,0.0,0.0,0.0,267.0,286.0,300.0,320.8,269.5,0.0,0.0,0.0,0.0,0.0,77.0,82.0,84.0,89.0,74.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,5.0,0.0,0.0,0.0,0.0,0.0,418.0,391.0,404.0,402.5,224.5,0.0,0.0,0.0,0.0,0.0,214.0,203.0,210.0,213.5,112.5,0.0,0.0,0.0,0.0,0.0,89.0,85.5,99.0,118.3,54.8,0.0,0.0,0.0,0.0,0.0,49.0,47.5,54.5,61.0,22.0,0.0,0.0,0.0,0.0,0.0,
1000000,"ŁÓDZKIE",2188.2,2159.2,2145.6,2157.7,2135.4,1432.6,1396.4,1368.7,1321.8,1234.8,1186.8,1175.1,1176.0,1186.7,1170.8,519.8,505.4,504.2,478.4,465.7,564.7,574.7,595.3,611.6,619.1,274.9,276.6,265.4,228.8,225.8,219.0,220.3,234.6,252.3,250.9,57.0,61.2,59.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,13.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,1025.5,1011.3,990.1,972.9,927.6,768.3,706.0,720.5,687.3,560.4,605.5,598.3,585.8,571.8,563.7,279.5,264.9,275.7,263.0,219.6,207.1,201.2,194.1,200.6,203.6,88.8,106.9,85.5,84.5,65.5,134.7,133.2,133.5,130.8,121.9,41.5,42.3,31.7,29.3,21.8,
1200000,"MAŁOPOLSKIE",3879.4,3932.9,4022.4,4119.2,4120.7,3444.0,3395.2,3382.0,3351.9,3246.4,1901.4,1953.3,2014.7,2113.0,2113.0,1032.8,1035.7,1035.0,1045.6,1043.8,694.1,673.2,682.5,683.5,687.6,629.3,610.8,619.3,606.6,572.6,199.4,194.0,198.4,204.2,210.8,85.2,90.5,101.3,107.7,101.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.6,1849.5,1912.4,1932.8,1972.7,1698.0,1677.9,1650.6,1611.4,1454.6,864.2,897.9,939.9,963.8,971.7,482.0,474.0,472.2,473.2,429.4,732.3,747.7,766.0,841.3,818.9,615.2,628.5,638.1,636.5,520.8,420.6,440.2,454.7,513.9,513.1,212.3,230.7,231.0,228.6,192.7,
1400000,"MAZOWIECKIE",4196.0,4259.0,4303.5,4332.0,4285.4,3055.9,3037.6,3045.2,3033.4,2991.0,1944.9,1978.6,2015.5,2045.0,2035.6,834.4,830.8,852.0,848.4,861.4,1129.3,1151.6,1118.6,1081.0,1012.5,750.6,747.5,739.9,737.4,697.7,340.9,347.1,334.7,325.7,300.6,124.3,124.9,133.0,135.3,133.5,104.0,87.1,72.1,57.0,50.5,63.0,52.0,47.5,41.5,36.5,44.0,38.0,33.0,25.0,22.5,9.0,8.0,7.0,7.0,7.0,1973.4,2018.3,2076.1,2056.4,2058.4,1360.1,1368.0,1348.8,1324.8,1198.0,966.4,978.7,1005.7,1011.8,1014.8,365.0,373.9,369.0,357.8,347.6,296.7,321.6,350.9,413.3,424.9,353.8,362.6,375.5,382.1,403.8,147.6,174.8,206.0,229.3,229.1,112.2,108.5,115.0,115.8,124.6,
1600000,"OPOLSKIE",696.4,688.7,678.0,687.3,666.1,504.2,512.1,505.0,494.2,465.7,316.7,315.0,315.3,322.8,309.8,199.5,200.8,198.1,194.0,179.5,205.2,216.0,216.0,230.8,213.8,128.7,140.0,143.0,144.8,136.5,68.2,73.5,79.0,85.5,82.0,29.0,30.0,29.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,343.0,335.0,331.1,249.9,224.5,225.5,219.5,219.0,220.5,180.0,178.0,176.5,177.2,120.2,89.0,91.0,93.0,98.0,94.0,54.5,49.5,47.0,50.6,40.4,83.6,79.2,70.4,58.9,43.9,22.5,21.0,18.0,20.6,15.1,41.6,39.1,35.0,29.0,23.0,
1800000,"PODKARPACKIE",1275.8,1290.1,1306.6,1299.0,1253.7,771.0,771.4,777.8,856.0,863.1,628.9,645.8,661.7,662.9,648.3,245.2,236.8,245.8,276.8,283.9,332.6,325.4,340.1,344.8,337.3,158.0,170.0,175.5,184.8,183.0,100.5,95.0,104.0,112.0,122.5,20.0,23.0,25.0,31.5,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.3,500.7,467.8,433.5,359.3,343.0,336.0,346.8,351.0,362.1,288.8,277.2,264.0,241.5,204.8,119.0,118.0,122.0,122.0,131.1,168.7,186.8,212.2,228.0,196.4,168.8,176.2,166.8,196.9,181.7,97.2,114.8,127.5,139.5,115.5,56.2,54.8,57.3,72.3,70.3,
